time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1121.403616305,0.1647593153441079,-0.0316723002633251,0.0,0.0,0.0,-0.11036519345108377,0.9938911027242898
1121.745734514,0.3418809257652857,-0.13291612476383427,0.0,0.0,0.0,-0.21871546828739974,0.9757886779071704
1122.047900964,0.478631236597999,-0.25329992036434024,0.0,0.0,0.0,-0.3140776898299819,0.9493972849924639
1122.349857176,0.6178258342817347,-0.40588462565831446,0.0,0.0,0.0,-0.4075041056138475,0.9132033748885613
1122.581510562,0.6995935036596664,-0.5222202744501104,0.0,0.0,0.0,-0.5007480021091381,0.8655931136415693
1122.944021437,0.7600812887506911,-0.6275259396747932,0.0,0.0,0.0,-0.5862826779300824,0.8101065495100822
1123.739030793,0.82768053822374,-0.8734713161366134,0.0,0.0,0.0,-0.6024135017103466,0.7981841723293429
1124.21182415,0.9036435525438167,-1.1233771012822957,0.0,0.0,0.0,-0.5679333744091731,0.8230745301807182
1124.594398847,0.9948824414850436,-1.2947467927243874,0.0,0.0,0.0,-0.4779704368720183,0.8783759226415373
1124.805974683,1.0743787880759494,-1.4002435617673072,0.0,0.0,0.0,-0.383088397486117,0.9237116864647317
1126.788820375,0.8157690736393682,-1.2195018371918647,0.0,0.0,0.0,-0.3183504484441845,0.9479730966516859
1127.31265586,0.5701200752817992,-1.0323396506558262,0.0,0.0,0.0,-0.31692478158877574,0.9484506749509469
1127.836507009,0.3100638540191935,-0.8533905581787173,0.0,0.0,0.0,-0.3121644043612146,0.9500280967686209
1128.87359554,0.40671897885788855,-0.8997646282387511,0.0,0.0,0.0,-0.21214896024595367,0.9772373399878664
1129.105158916,0.537448137263719,-0.9371093942083132,0.0,0.0,0.0,-0.11329769207805365,0.9935610866825384
1129.376901104,0.7066044658936762,-0.9557750386571011,0.0,0.0,0.0,-0.012971969685622963,0.9999158604615067
1129.689037734,0.8845838967734355,-0.9401556321148503,0.0,0.0,0.0,0.08754674413971733,0.9961604125794875
1129.880186425,1.006131118413237,-0.9105637735780412,0.0,0.0,0.0,0.191829462718314,0.9814282741154358
1130.051181159,1.1160249671613038,-0.8308903093931309,0.0,0.0,0.0,0.3005233999538879,0.9537744419306672
1130.242512791,1.193732326577416,-0.7840515023047172,0.0,0.0,0.0,0.39616169804726675,0.9181807605261103
1130.484421359,1.2737231381913208,-0.696366925722804,0.0,0.0,0.0,0.4840940504838144,0.8750159714463355
1130.715834346,1.3347585864965348,-0.5840805694808147,0.0,0.0,0.0,0.5739090999486515,0.8189190100346485
1130.897027791,1.3713109530887486,-0.46229566412732725,0.0,0.0,0.0,0.6575647341347534,0.7533980491229659
1131.128705542,1.3772972677304325,-0.34720474540415275,0.0,0.0,0.0,0.7348355252514808,0.6782453470746264
1131.299779093,1.3647220326874467,-0.24658845746834893,0.0,0.0,0.0,0.8003826150919005,0.5994895073799463
