time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1121.393666314,11.493826650374395,3.060230132816078,0.0,0.0,0.0,0.9970415812510479,0.07686406999639049
1121.595119284,0.19781226535319762,-0.07400333659924448,0.0,0.0,0.0,-0.16143600284185078,0.9868831830497701
1121.635357591,0.22195592701180558,-0.09776910215684824,0.0,0.0,0.0,-0.17824313281646992,0.9839864763317483
1121.756085412,0.2525371877171855,-0.11365988287902047,0.0,0.0,0.0,-0.1981084760483132,0.9801801016740826
1121.866730674,0.3132289386163869,-0.16527847999321707,0.0,0.0,0.0,-0.24107656533478353,0.9705060997471288
1121.957399462,0.36661956336423884,-0.2191906315985425,0.0,0.0,0.0,-0.2777848956812362,0.9606433009870858
1122.057980021,0.3989734244828631,-0.2541417986065146,0.0,0.0,0.0,-0.29954697415653836,0.9540815532613877
1122.158644928,0.4796217610892915,-0.3140236868252575,0.0,0.0,0.0,-0.3437947558427019,0.939044815679772
1122.269375621,0.527603257837632,-0.3737160484897098,0.0,0.0,0.0,-0.3707243476170927,0.9287429451058463
1122.370013652,0.5796436990575513,-0.4116842924010361,0.0,0.0,0.0,-0.398293404668522,0.9172580682651731
1122.480625498,0.6329371231179906,-0.4355527416141408,0.0,0.0,0.0,-0.44101938669526003,0.8974975769097857
1122.57115599,0.6827445456433886,-0.4799552086584269,0.0,0.0,0.0,-0.4791804529957276,0.8777164083385984
1122.702040078,0.7422206009075458,-0.5319231479469642,0.0,0.0,0.0,-0.5285377022356894,0.8489098287306006
1122.802696518,0.7816626625576221,-0.5780210424191156,0.0,0.0,0.0,-0.5620097395304796,0.8271306140343752
1122.863043492,0.7994543261174459,-0.6033098721516753,0.0,0.0,0.0,-0.5752504382197312,0.8179773427962459
1122.963666303,0.8116282626847604,-0.6193299013932062,0.0,0.0,0.0,-0.5849249482837385,0.8110874212286033
1123.054236976,0.81379834883239,-0.6211144322610183,0.0,0.0,0.0,-0.5865926277673206,0.809882145160041
1123.225402388,0.8122689439787234,-0.6206931366734887,0.0,0.0,0.0,-0.5865045051348313,0.8099459645288362
1123.305884923,0.8148570092585853,-0.6238430260092097,0.0,0.0,0.0,-0.5877472085584327,0.8090446333990297
1123.406550374,0.820674592453999,-0.6422043206193998,0.0,0.0,0.0,-0.5912324218800241,0.8065012233827554
1123.497082207,0.828932538935879,-0.7002217092612079,0.0,0.0,0.0,-0.6014236937200454,0.7989302476637976
1123.607739282,0.8377937075397108,-0.7287512220707977,0.0,0.0,0.0,-0.6022054155563219,0.7983411786164094
1123.64796991,0.849575509272606,-0.7641346471181324,0.0,0.0,0.0,-0.6026682253498338,0.7979918609570413
1123.6982451,0.8585664197347566,-0.8067840402797044,0.0,0.0,0.0,-0.6015183141693006,0.7988590099128398
1123.798805511,0.8701748340932397,-0.8434708197975793,0.0,0.0,0.0,-0.6021537468214231,0.7983801507984285
1123.859161566,0.882534847279437,-0.8800534219238169,0.0,0.0,0.0,-0.6025921782737111,0.798049288379699
1123.969778266,0.8992574954435022,-0.9401986700606727,0.0,0.0,0.0,-0.6024484198085555,0.7981578173958923
1124.100516666,0.912532480996925,-1.010344618847908,0.0,0.0,0.0,-0.5854273059423739,0.8107249036862345
1124.462924502,0.9902453817700694,-1.056727191579011,0.0,0.0,0.0,-0.5591992253424264,0.8290333083636809
1124.50314596,1.004283774632352,-1.1181170487459717,0.0,0.0,0.0,-0.5300139749700535,0.847988906965441
1124.755087718,1.0797587429100794,-1.2422317421980902,0.0,0.0,0.0,-0.4401299821992246,0.897934072618536
1125.288446891,1.3089939883844361,-1.458965066773616,0.0,0.0,0.0,-0.34790375931049583,0.9375302524492874
1126.375184606,1.0622432468057112,-1.2521605416206816,0.0,0.0,0.0,-0.3430085731980784,0.9393322727941473
1126.89908359,0.8147920388511455,-1.0592202382163085,0.0,0.0,0.0,-0.32698518403646804,0.9450294648425716
1127.200855037,0.7162674128884765,-1.0452957109144845,0.0,0.0,0.0,-0.32187192380079954,0.9467832194693632
1127.311544856,0.6852246365456905,-1.01830481890107,0.0,0.0,0.0,-0.3226570595897854,0.9465159385329301
1127.402161663,0.6382542400591956,-0.9827054354330458,0.0,0.0,0.0,-0.32248442975177444,0.9465747686092594
1127.532956816,0.5901673217903236,-0.947418054191122,0.0,0.0,0.0,-0.32219383852963407,0.9466737190888633
1127.61341188,0.5405741445312657,-0.9083773054621159,0.0,0.0,0.0,-0.322443637751083,0.9465886648771199
1127.724051252,0.4941332485547605,-0.8733116654546755,0.0,0.0,0.0,-0.3222685318779118,0.9466482944374089
1127.804520953,0.44629855589475326,-0.8376564410894951,0.0,0.0,0.0,-0.32191296676037784,0.9467692653606431
1127.854813723,0.414078061247324,-0.8122963903685367,0.0,0.0,0.0,-0.3222033041769164,0.9466704974686163
1127.975755652,0.3651514853340535,-0.778018871329444,0.0,0.0,0.0,-0.3214330694786154,0.9469323005608984
1128.076429753,0.31758644563633676,-0.7363247855269557,0.0,0.0,0.0,-0.32241429228483737,0.9465986605370131
1128.177034334,0.2737876906333205,-0.7013396204794748,0.0,0.0,0.0,-0.32402541384848493,0.9460483767653312
1128.267580389,0.238503491879441,-0.6776472709774769,0.0,0.0,0.0,-0.3251883837677792,0.94564925583564
1128.368178301,0.21698041247881766,-0.6591425210326863,0.0,0.0,0.0,-0.3268106843537124,0.9450898246157654
1128.468770121,0.20576014202713572,-0.6528892933908532,0.0,0.0,0.0,-0.3261518850998512,0.9453173794265148
