time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1118.463264142,12.320241237084876,2.851214822109071,0.0,0.0,0.0,-0.9999520998920952,0.009787641257685348
1121.413948092,12.171411913101311,2.857759667750596,0.0,0.0,0.0,0.9956661253014574,0.09299982218898402
1121.746146194,11.984111964089065,2.9144045861242556,0.0,0.0,0.0,0.9805177799745589,0.19643035191579375
1122.048467172,11.83599483030597,2.9945366289832562,0.0,0.0,0.0,0.9555365817296677,0.2948725843078362
1122.330467232,11.684812097147057,3.1194496335504924,0.0,0.0,0.0,0.920839515549606,0.3899417733487488
1122.572060716,11.595743154384731,3.232676555576851,0.0,0.0,0.0,0.8750111020353959,0.4841028520002768
1122.944397989,11.538349665980274,3.350746800475401,0.0,0.0,0.0,0.8216803523804421,0.5699485928677712
1123.74046311,11.451892277642907,3.603758971166124,0.0,0.0,0.0,0.8093571019771846,0.5873168493063121
1124.214219134,11.361893070757688,3.8524969732785195,0.0,0.0,0.0,0.833245284905986,0.5529035134469144
1124.596759514,11.270489353450204,4.027302140456176,0.0,0.0,0.0,0.886837979922935,0.4620805096151621
1124.808137834,11.180937448734841,4.128367454900674,0.0,0.0,0.0,0.9298985848447975,0.36781601637726835
1126.782477188,11.441293199052978,3.95429474079016,0.0,0.0,0.0,0.9535405919995456,0.3012645671318754
1127.326497095,11.692270550260128,3.774563770137636,0.0,0.0,0.0,0.9550755446466075,0.29636245379262544
1127.840169684,11.954813441474563,3.596855396577935,0.0,0.0,0.0,0.9564760789633142,0.29181074409788926
1128.878548847,11.851827550299818,3.6543337754930927,0.0,0.0,0.0,0.9861086288271681,0.1661016922027056
1129.110094904,11.717203419894126,3.6849556598913518,0.0,0.0,0.0,0.9978179938305094,0.06602462561845739
1129.39229476,11.553687900193149,3.6904397005117624,0.0,0.0,0.0,-0.999640911371174,0.026796423511518813
1129.704483629,11.377792144248923,3.6565470319525075,0.0,0.0,0.0,-0.9915080323272277,0.13004546063046227
1129.895845063,11.269151753472393,3.607898313625555,0.0,0.0,0.0,-0.9719283212862653,0.2352771520604205
1130.077298397,11.170045470693315,3.530309812785411,0.0,0.0,0.0,-0.9353918051139785,0.35361302425902386
1130.268559672,11.089785095359101,3.4363390646682883,0.0,0.0,0.0,-0.8900410715816083,0.45588034712834724
1130.470086455,11.024246278566531,3.3253623558261998,0.0,0.0,0.0,-0.8376373172610332,0.5462268070424037
1130.712281092,10.984782972961696,3.2002190224130467,0.0,0.0,0.0,-0.7750332002043221,0.6319205160311281
1130.893470705,10.971764254406525,3.0697253642081526,0.0,0.0,0.0,-0.7029282331960505,0.7112607812721568
1131.105002116,10.988806850628313,2.9435400752233725,0.0,0.0,0.0,-0.6205194318078221,0.7841910703067828
1131.276310561,11.02532235860399,2.83979837146326,0.0,0.0,0.0,-0.5393378948932301,0.8420894460401098
1131.497997178,11.084024351371431,2.740735403288079,0.0,0.0,0.0,-0.44819095236096645,0.893937844719514
1131.780181727,11.135121037413958,2.6837065441252066,0.0,0.0,0.0,-0.3566888124837202,0.9342232554635714
1132.032760192,11.264619943276154,2.5873842184207354,0.0,0.0,0.0,-0.26262831623377797,0.9648970761237754
1132.405707836,11.462584336957706,2.493173383358086,0.0,0.0,0.0,-0.1621752923963261,0.9867619644758132
1132.727953835,11.648942356584651,2.4502300649411954,0.0,0.0,0.0,-0.06450279300448421,0.9979175264993699
1133.019713573,11.814915313405015,2.44134103416424,0.0,0.0,0.0,0.0375301815493139,0.9992954945724891
1133.261518433,11.957950935812395,2.468299998868726,0.0,0.0,0.0,0.14372487542487344,0.9896176838477092
1133.503192457,12.075128105692892,2.5189785136224447,0.0,0.0,0.0,0.24695397009150197,0.9690272115147467
1133.674347255,12.181712173029826,2.5937678995364077,0.0,0.0,0.0,0.34755250042075897,0.9376605246309979
1133.905857864,12.272805943676177,2.6857542201780276,0.0,0.0,0.0,0.4453463456527277,0.895358382109511
1134.097284143,12.340278250863298,2.796069364283426,0.0,0.0,0.0,0.5461328033697737,0.8376986099328757
1134.329655919,12.360888313601356,2.8992710445819405,0.0,0.0,0.0,0.6194848768321325,0.7850085906385215
1134.551164004,12.372514503073202,3.033432588711029,0.0,0.0,0.0,0.7011613345113645,0.7130026528605924
1135.034265854,12.360349720096165,3.2867500066270003,0.0,0.0,0.0,0.7224073530824484,0.6914677260815654
1135.487255468,12.334437134933774,3.535980933008318,0.0,0.0,0.0,0.731830447207772,0.6814867544858612
1135.879805964,12.311526384656815,3.7884735477378952,0.0,0.0,0.0,0.7325620112584115,0.6807003009115179
1136.332431374,12.282251352662167,4.039487753165341,0.0,0.0,0.0,0.735625363187517,0.6773886071046912
1136.714872489,12.270355333665904,4.2795487673334165,0.0,0.0,0.0,0.7330373728059933,0.6801883636682469
1137.168066366,12.28129861311222,4.508228964700693,0.0,0.0,0.0,0.7233024829142352,0.6905313303609782
1137.661729001,12.306621019154136,4.739779590101247,0.0,0.0,0.0,0.7044283667870613,0.7097750883665285
1138.035110339,12.329228309755619,4.982179565521645,0.0,0.0,0.0,0.7006241064536054,0.7135305609825602
1138.488538638,12.342706526462713,5.2258778645056605,0.0,0.0,0.0,0.6987360616647148,0.7153795608830908
1138.901831501,12.350543489537598,5.4749210796473,0.0,0.0,0.0,0.6987082907078256,0.7154066846879115
1139.324611102,12.379185127695791,5.717380428589793,0.0,0.0,0.0,0.6842216130845363,0.7292741488548701
1139.787862913,11.97085163035818,6.097654451312329,0.0,0.0,0.0,0.6847308296118889,0.7287960558201549
